alignment,ba,bna,category,corpus,dnmalignment,docId,nba,nbna,replierId,speakerId
0.538996500732687,3,0,quant,SCOTUS,0.09999999999999998,12-872.xml,2,1,SCODR,KAGA
0.0,2,1,tentat,SCOTUS,0.0,12-872.xml,2,1,SCODR,KAGA
1.540445040947149,1,0,we,SCOTUS,0.8333333333333334,12-872.xml,0,5,SCODR,KAGA
-0.4054651081081644,0,0,you,SCOTUS,0.0,12-872.xml,4,2,SCODR,KAGA
0.22314355131420985,4,1,article,SCOTUS,0.0,12-872.xml,0,0,THEOB,KAGA
0.0,1,3,certain,SCOTUS,0.19999999999999996,12-872.xml,0,1,THEOB,KAGA
0.22314355131420982,2,2,discrep,SCOTUS,0.19999999999999996,12-872.xml,0,1,THEOB,KAGA
0.4700036292457356,3,1,excl,SCOTUS,0.19999999999999996,12-872.xml,0,1,THEOB,KAGA
0.22314355131420985,4,1,i,SCOTUS,0.0,12-872.xml,0,0,THEOB,KAGA
0.6286086594223741,2,1,incl,SCOTUS,0.4,12-872.xml,0,2,THEOB,KAGA
0.22314355131420985,4,1,ipron,SCOTUS,0.0,12-872.xml,0,0,THEOB,KAGA
-0.28768207245178085,2,1,negate,SCOTUS,-0.09999999999999998,12-872.xml,2,0,THEOB,KAGA
0.22314355131420985,4,1,preps,SCOTUS,0.0,12-872.xml,0,0,THEOB,KAGA
0.0,1,3,quant,SCOTUS,0.19999999999999996,12-872.xml,0,1,THEOB,KAGA
1.1631508098056809,3,0,tentat,SCOTUS,0.4,12-872.xml,0,2,THEOB,KAGA
0.4700036292457356,1,0,you,SCOTUS,0.1333333333333333,12-872.xml,2,2,THEOB,KAGA
-0.28768207245178085,1,1,article,SCOTUS,-0.16666666666666663,12-872.xml,1,0,SCODR,KENN
-0.28768207245178085,1,1,discrep,SCOTUS,-0.16666666666666663,12-872.xml,1,0,SCODR,KENN
-0.4054651081081645,0,1,i,SCOTUS,-0.3333333333333333,12-872.xml,1,1,SCODR,KENN
-0.9808292530117262,0,1,incl,SCOTUS,-0.3333333333333333,12-872.xml,2,0,SCODR,KENN
-0.8109302162163289,0,2,negate,SCOTUS,-0.6666666666666666,12-872.xml,1,0,SCODR,KENN
0.8109302162163289,2,0,quant,SCOTUS,0.33333333333333337,12-872.xml,0,1,SCODR,KENN
